Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Voice and Accountability: Estimate,VA.EST,Mozambique,MOZ,-0.114246525,-0.120654635,-0.199520618,-0.197661281,-0.256315291,-0.246708766,-0.270693123,-0.416637808,-0.419679195,-0.484441161,-0.540491521,-0.591020644
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Mozambique,MOZ,0.625379622,0.394421875,0.332048267,0.390493691,-0.22696647,-0.336002737,-0.516435564,-1.096814632,-0.917248428,-0.833329558,-0.766716242,-1.281614184
Government Effectiveness: Estimate,GE.EST,Mozambique,MOZ,-0.600310385,-0.616408288,-0.650063932,-0.653231084,-0.635170341,-0.7437585,-0.827747524,-0.945310771,-0.95836705,-0.960750163,-0.888383806,-0.769691467
Regulatory Quality: Estimate,RQ.EST,Mozambique,MOZ,-0.437218875,-0.453413218,-0.473082095,-0.46577546,-0.41751945,-0.435868889,-0.561899006,-0.749054015,-0.772097945,-0.796630502,-0.780855536,-0.772882998
Rule of Law: Estimate,RL.EST,Mozambique,MOZ,-0.600408316,-0.48764661,-0.579845726,-0.598753095,-0.81991297,-0.808949351,-0.868800402,-1.074712157,-1.008332849,-1.067342639,-1.056031585,-1.061634064
Control of Corruption: Estimate,CC.EST,Mozambique,MOZ,-0.428717107,-0.436986297,-0.4961963,-0.569021642,-0.602598667,-0.669381857,-0.779341638,-0.902694941,-0.85798502,-0.808722258,-0.858943164,-0.774722815
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: Worldwide Governance Indicators,,,,,,,,,,,,,,,
Last Updated: 09/29/2023,,,,,,,,,,,,,,,
